Date,Name,Year,Letterboxd URI
2025-10-21,The Silence of the Lambs,1991,https://boxd.it/2aHW
2025-10-21,A Clockwork Orange,1971,https://boxd.it/2aVE
2025-10-26,Memento,2000,https://boxd.it/2bcK
2025-10-26,Fallen Angels,1995,https://boxd.it/1UkW
2025-10-30,In the Mood for Love,2000,https://boxd.it/29tE
2025-11-06,Beautiful Boy,2018,https://boxd.it/g76Q
2025-11-07,The Perfect Neighbor,2025,https://boxd.it/RSG6
2025-11-09,Udaan,2010,https://boxd.it/PPe
2025-11-10,The Iron Giant,1999,https://boxd.it/1Wow
2025-11-12,12 Angry Men,1957,https://boxd.it/2auI
2025-11-12,Weapons,2025,https://boxd.it/EMTM
2025-11-13,Monsoon Wedding,2001,https://boxd.it/2aiM
2025-11-24,Homebound,2025,https://boxd.it/KDDs
2025-11-24,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8
2025-12-20,Dhurandhar,2025,https://boxd.it/NhCI
2025-12-21,One Battle After Another,2025,https://boxd.it/DUHM
2025-12-25,The Florida Project,2017,https://boxd.it/dMG0
2025-12-26,Frankenstein,2025,https://boxd.it/Ecsg
2025-12-26,Groundhog Day,1993,https://boxd.it/2b3e
2025-12-26,How the Grinch Stole Christmas,2000,https://boxd.it/1ZHQ
2025-12-27,Baramulla,2025,https://boxd.it/YdUU
2025-12-27,Nuremberg,2025,https://boxd.it/K6qU
2025-12-28,Nobody,2021,https://boxd.it/mLqS
2025-12-28,Nobody 2,2025,https://boxd.it/C5Lc
2025-12-30,Django Unchained,2012,https://boxd.it/2cCk
2025-12-30,Raat Akeli Hai - The Bansal Murders,2025,https://boxd.it/Sq7a
2025-12-31,The 36th Chamber of Shaolin,1978,https://boxd.it/1SXC
2026-01-02,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape
2026-01-02,Stranger Things 5: The Finale,2025,https://boxd.it/YqXW
2026-01-03,Badmaash Company,2010,https://boxd.it/17qG
2026-01-25,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy
2026-01-25,Life in a Metro,2007,https://boxd.it/1DoW
2026-01-26,The Diplomat,2025,https://boxd.it/Hs1m
2026-02-01,Peepli Live,2010,https://boxd.it/RGo
2026-02-03,The Zone of Interest,2023,https://boxd.it/gJsA
2026-02-03,Chaar Phool Hain Aur Duniya Hai,2024,https://boxd.it/R5Gw
2026-02-03,Kiss.,2022,https://boxd.it/ABMW
2026-02-08,The Times of Harvey Milk,1984,https://boxd.it/1g1U
2026-02-08,The Worst Person in the World,2021,https://boxd.it/oyws
2026-02-14,Marty Supreme,2025,https://boxd.it/Off0
